label,youtube_id,time_start,time_end,split
bench pressing,wJdjTwkbNtA,2,12,train
bench pressing,JLbAce56NI0,173,183,train
bench pressing,MCpaVd9pK-c,3,13,train
bench pressing,NbcRkowabg4,15,25,train
bench pressing,1zD7hu7hlWg,46,56,train
bench pressing,uGGaAV7OVbo,5,15,train
bench pressing,2BuGD6A7Ppo,69,79,train
bench pressing,4k7TUyemDA8,2,12,train
bench pressing,Up7laNAyF4M,0,10,train
bench pressing,QfcEvX2EZLs,35,45,train
bench pressing,OJhAV19dClE,16,26,train
bench pressing,7Unqpu4xHI8,64,74,train
bench pressing,LEvBqBnlPnk,9,19,train
bench pressing,8Aaf-XPjazY,21,31,train
bench pressing,Xelxozo6MUU,12,22,train
bench pressing,OArX2FuD054,97,107,train
bench pressing,RlqGBUd0iqY,23,33,train
bench pressing,X2srLUdVkTY,16,26,train
bench pressing,KqvrDCWmYSc,65,75,train
bench pressing,Th7lIHo5ncY,12,22,train
bench pressing,XBhjKK8AXN4,18,28,train
bench pressing,2Rx45Ss-Z0k,38,48,train
bench pressing,NjYthBXM_Ys,49,59,train
bench pressing,ZNsi9Rs_LSA,3,13,train
bench pressing,rzXaw5mvZ4E,0,10,train
bench pressing,pXp1sl66cYM,399,409,train
bench pressing,ZkTAHgx2iYg,16,26,train
bench pressing,Zy51mgOkZWQ,0,10,train
bench pressing,9nxWZeLTKKA,91,101,train
bench pressing,k1fF5N5Pb2A,9,19,train
bench pressing,6I0v6Pm-0co,34,44,train
bench pressing,4_NlGMb0hNc,6,16,train
bench pressing,yLfszYTc3Sk,16,26,train
bench pressing,QoyIT1L54Ks,4,14,train
bench pressing,aPoh0lIXHYM,16,26,train
bench pressing,DivQRf88-l4,39,49,train
bench pressing,AlvdDpHn5Jw,3,13,train
bench pressing,KL0NLZcttk4,25,35,train
bench pressing,6CG_6Cp7JSk,3,13,train
bench pressing,yAsaDabPEf4,17,27,train
bench pressing,wT78M5unR-E,13,23,train
bench pressing,evrLbCi_3vM,18,28,train
bench pressing,Gt9ZZttmR3w,15,25,train
bench pressing,d8-qK4Spat0,9,19,train
bench pressing,b6iPWk8JxP4,18,28,train
bench pressing,OuOZ5NdhhXw,0,10,train
bench pressing,KudgrrM7ep0,15,25,train
bench pressing,Pn8fUH52sz0,42,52,train
bench pressing,HHfOjvmHh_A,79,89,train
bench pressing,QnJV5KuBb-A,0,10,train
bench pressing,2lI9QfxlI3A,9,19,train
bench pressing,ib7I0mIUl1g,16,26,train
bench pressing,dWrF-6WBlbQ,11,21,train
bench pressing,CtoaLDNmuYk,126,136,train
bench pressing,PfgdRwUwZFU,21,31,train
bench pressing,zsjRCt0b87w,4,14,train
bench pressing,IRTZPEcNQZk,1,11,train
bench pressing,JEJir0UGsJs,2,12,train
bench pressing,R3hjK8ssxiU,10,20,train
bench pressing,HqLocH5yYR0,4,14,train
bench pressing,Pc584-1gHSM,25,35,train
bench pressing,d_H4yEti67g,25,35,train
bench pressing,Em43aa4r1Uw,14,24,train
bench pressing,zU4T3YG6SRo,18,28,train
bench pressing,vs8hwZrWk-M,5,15,train
bench pressing,nTFNkZLUVwA,0,10,train
bench pressing,F8OKAhQeH8k,2,12,train
bench pressing,4RKNVaA17bA,8,18,train
bench pressing,8A60clBH53U,23,33,train
bench pressing,LEeDQW7_Kh4,18,28,train
bench pressing,jAxlicigO5Y,11,21,train
bench pressing,2h1QhY-wWjI,0,10,train
bench pressing,lD5L0zeBRS8,37,47,train
bench pressing,t7IazbJqCHc,12,22,train
bench pressing,buk237mWFOA,3,13,train
bench pressing,QAiXvhwL1NY,2,12,train
bench pressing,5HoJKHUpWxE,113,123,train
bench pressing,wJy2mDcwOus,4,14,train
bench pressing,jrCyun65h58,28,38,train
bench pressing,o6-VvF0Yjo4,6,16,train
bench pressing,0V16kxBu8rY,3,13,train
bench pressing,Jf1ADy53l9I,5,15,train
bench pressing,RoX6SR6RyL8,0,10,train
bench pressing,S6vQ1lXVuSo,7,17,train
bench pressing,EzHWSnCl8GQ,3,13,train
bench pressing,2SEJaJ6dK1Y,1,11,train
bench pressing,jJb5qBLCB7w,37,47,train
bench pressing,ehxWC3nDZC8,3,13,train
bench pressing,nCpS-aXp3Mg,30,40,train
bench pressing,AUrkYbG76IU,0,10,train
bench pressing,6XbZSbr6y10,10,20,train
bench pressing,JpwYnXhyTFM,41,51,train
bench pressing,jK3fPTGJdJk,33,43,train
bench pressing,VUy9JSXO23A,46,56,train
bench pressing,aDMJN5P4frE,41,51,train
bench pressing,ZYKvihr3VSw,53,63,train
bench pressing,sWZbzy3tjj4,0,10,train
bench pressing,M9P9uPGm_9w,0,10,train
